,location,Coords,Lats,Longs,cluster
105,"oakley, california","{'lat': 37.9974219, 'lng': -121.7124536}",37.9974219,-121.7124536,0
106,"long beach, california","{'lat': 33.7700504, 'lng': -118.1937395}",33.7700504,-118.1937395,1
107,"canyon country, california","{'lat': 34.4235425, 'lng': -118.4720633}",34.4235425,-118.4720633,1
108,"marin city, california","{'lat': 37.868538, 'lng': -122.5091404}",37.868538,-122.5091404,0
109,"modesto, california","{'lat': 37.6392595, 'lng': -120.9970014}",37.6392595,-120.9970014,2
110,"port costa, california","{'lat': 38.04630969999999, 'lng': -122.1833005}",38.04630969999999,-122.1833005,0
111,"campbell, california","{'lat': 37.2871651, 'lng': -121.9499568}",37.2871651,-121.9499568,2
112,"san luis obispo, california","{'lat': 35.2827524, 'lng': -120.6596156}",35.2827524,-120.6596156,2
113,"vacaville, california","{'lat': 38.3565773, 'lng': -121.9877444}",38.3565773,-121.9877444,0
114,"ashland, california","{'lat': 37.6947836, 'lng': -122.1136727}",37.6947836,-122.1136727,0
115,"canyon, california","{'lat': 37.8306731, 'lng': -122.1658805}",37.8306731,-122.1658805,0
116,"seaside, california","{'lat': 36.6149217, 'lng': -121.822098}",36.6149217,-121.822098,2
117,"isla vista, california","{'lat': 34.4133292, 'lng': -119.8609718}",34.4133292,-119.8609718,1
118,"north hollywood, california","{'lat': 34.187044, 'lng': -118.3812562}",34.187044,-118.3812562,1
119,"olema, california","{'lat': 38.0407566, 'lng': -122.7880459}",38.0407566,-122.7880459,0
120,"stockton, california","{'lat': 37.9577016, 'lng': -121.2907796}",37.9577016,-121.2907796,2
121,"santa ana, california","{'lat': 33.7454725, 'lng': -117.867653}",33.7454725,-117.867653,1
122,"brea, california","{'lat': 33.916475, 'lng': -117.9002918}",33.916475,-117.9002918,1
123,"union city, california","{'lat': 37.5933562, 'lng': -122.0438609}",37.5933562,-122.0438609,0
124,"sunnyvale, california","{'lat': 37.36883, 'lng': -122.0363496}",37.36883,-122.0363496,2
125,"muir beach, california","{'lat': 37.8622625, 'lng': -122.5787638}",37.8622625,-122.5787638,0
126,"magalia, california","{'lat': 39.8121058, 'lng': -121.5783059}",39.8121058,-121.5783059,3
127,"chico, california","{'lat': 39.7284944, 'lng': -121.8374777}",39.7284944,-121.8374777,3
128,"hilarita, california","{'lat': 37.884093, 'lng': -122.4719173}",37.884093,-122.4719173,0
129,"studio city, california","{'lat': 34.1395597, 'lng': -118.3870991}",34.1395597,-118.3870991,1
130,"freedom, california","{'lat': 36.938468, 'lng': -121.8021647}",36.938468,-121.8021647,2
131,"granite bay, california","{'lat': 38.7632345, 'lng': -121.1638361}",38.7632345,-121.1638361,3
132,"waterford, california","{'lat': 37.640545, 'lng': -120.7615808}",37.640545,-120.7615808,2
133,"nevada city, california","{'lat': 39.2615606, 'lng': -121.0160594}",39.2615606,-121.0160594,3
134,"glencove, california","{'lat': 38.0685314, 'lng': -122.2069126}",38.0685314,-122.2069126,0
